,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),Consumption on Current Month,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
0,104989.0,RM 1080,GSC ITALY,O,COMPOUND,keo FISS water,80.0,120.0,840.0,2023-04-09::840.0,480.0,287.0,0.0,207.0,233.0,218.4,767.0,0.0,1607.0,0.0,0.0,,,0.0,0.0,767.0,767.0
1,104988.0,RM 2510,GSC ITALY,O,COMPOUND,"keo FONDO, RIM",80.0,120.0,0.0,-,4680.0,485.0,3.0,334.0,319.0,347.96,1721.7,4.7,1721.7,0.0,0.0,,,3.0,0.0,5165.0,5162.0
2,100094.0,ACRYSOL RM-825,LANXESS,D,-,"keo mau art: Ellington, Benfica, Viseu",23.0,204.0,0.0,-,0.0,95.0,0.0,58.0,46.0,57.546,95.0,0.0,95.0,0.0,0.0,,,0.0,0.0,95.0,95.0
3,104769.0,CONTEX AMARANTO,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,60.0,0.0,-,420.0,29.0,0.0,28.0,42.0,21.0,449.0,0.0,449.0,0.0,0.0,,,0.0,0.0,449.0,449.0
4,105458.0,OXY CAR AMARANTH HP,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,960.0,96.0,82.0,28.0,37.0,45.846,12.9,4.8,12.9,0.0,0.0,,,82.0,35.0,1021.0,974.0
5,104804.0,ARANCIO CONTEX ECP,SAMIA,O,PIGMENT,xai het khong mua nua,70.0,120.0,0.0,-,120.0,8.0,0.0,22.0,13.0,12.4,128.0,0.0,128.0,0.0,0.0,,,0.0,0.0,128.0,128.0
6,105535.0,OPERA MANDARINO,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1200.0,169.0,50.0,21.0,18.0,27.615,27.4,4.8,27.4,0.0,0.0,,,50.0,6.0,1363.0,1319.0
7,105186.0,OXY FINE ARANCIO CO,GSC,O,-,GSC project,70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
8,104523.0,ORANGE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0.0,1.0,0.0,-,0.0,96.0,0.0,0.0,,0.0,96.0,0.0,96.0,0.0,0.0,,,0.0,0.0,96.0,96.0
9,104744.0,ISOLAC ORANGE,SAMIA,O,PIGMENT,-,70.0,10.0,0.0,-,170.0,10.0,1.0,1.0,1.0,1.449,180.0,4.8,180.0,0.0,0.0,,,1.0,0.0,180.0,179.0
10,105589.0,SHADE ORANGE/EJ,GSC,O,-,-,70.0,10.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
